,Code,Subject,Target_lower,variants
163,REES,"Russian, East European and Eurasian Studies","russian, east european and eurasian studies","['russian, eastern european and eurasian studies', 'russian, east european and eurasian studies', 'russian, east european, and eurasian studies', 'russian & east european center', 'russian,east european & eurasion center', 'russian, east european, & eurasian center']"
164,REHB,Rehabilitation Counseling,rehabilitation counseling,"['rehabilitation counseling', 'rehabilitation services']"
165,REL,Religion,religion,"['religion', 'religious studies']"
166,RHET,Rhetoric and Composition,rhetoric and composition,"['rhetoric and composition', 'rhetoric']"
167,RMLG,Romance Linguistics,romance linguistics,[]
168,RST,"Recreation, Sport, and Tourism","recreation, sport, and tourism","['recreation, sport & tourism', 'recreation, sports, and tourism', 'recreation, sport, and tourism', 'leisure studies', 'recreation, sport and tourism']"
169,RUSS,Russian,russian,['russian']
170,SAME,South Asian & Middle Eastern,south asian & middle eastern,['indonesian']
171,SBC,Strategic Brand Communication,strategic brand communication,['strategic brand communication']
172,SCAN,Scandinavian,scandinavian,['scandinavian']
173,SE,Systems Engineering and Design,systems engineering and design,"['systems engineering and design', 'systems engineering']"
174,SHS,Speech and Hearing Science,speech and hearing science,['speech and hearing science']
175,SLAV,Slavic,slavic,['slavic']
176,SLCL,Literatures Cultures Linguistics,literatures cultures linguistics,"['literatures, cultures, and linguistics', 'school of literatures, cultures and linguistics', 'school of literatures, cultures, and linguistics']"
177,SNSK,Sanskrit,sanskrit,['sanskrit']
178,SOC,Sociology,sociology,"['sociology', 'rural sociology']"
179,SOCW,Social Work,social work,['social work']
180,SPAN,Spanish,spanish,"['spanish', 'spanish and portuguese', 'spanish, italian and portuguese', 'spanish, italian, and portuguese', 'spanish, italian and portugues']"
181,SPED,Special Education,special education,['special education']
182,STAT,Statistics,statistics,['statistics']
183,SWAH,Swahili,swahili,['swahili']
184,TAM,Theoretical and Applied Mechanics,theoretical and applied mechanics,"['theoretical and applied mechanics', 'theoretical & applied mechanics']"
185,TE,Technology Entrepreneurship,technology entrepreneurship,"['technical entrepreneurship', 'technology entrepreneurship', 'technical entrepreneurship center', 'technology entrepreneur center']"
186,THEA,Theatre,theatre,['theatre']
187,TMGT,Technology and Management,technology and management,[]
188,TRST,Translation Studies,translation studies,['translation studies']
189,TURK,Turkish,turkish,['turkish']
190,UKR,Ukrainian,ukrainian,['ukrainian']
191,UP,Urban and Regional Planning,urban and regional planning,"['urban & regional planning', 'urban and regional planning']"
192,VCM,Veterinary Clinical Medicine,veterinary clinical medicine,['veterinary clinical medicine']
193,VM,Veterinary Medicine Courses,veterinary medicine courses,"['veterinary medicine courses', 'veterinary medical science', 'veterinary biosciences', 'veterinary medicine']"
194,WGGP,Women and Gender in Global Perspectives,women and gender in global perspectives,['women and gender in global perspectives program']
195,WLOF,Wolof,wolof,[]
196,WRIT,Writing Studies,writing studies,['writing studies']
197,YDSH,Yiddish,yiddish,[]
198,NA,Not Availible,,[]
